airport_identifier,name,position
ENAL,ALESUND/VIGRA RWY 07/25,"(6256,611)"
ENAN,ANDOYA/ANDENES RWY 03/21 14/32,"(6929,1614)"
ENAS,NY-ALESUND/HAMNERABBEN RWY 12/30,"(7892,1187)"
ENAT,ALTA RWY 11/29,"(6997,2337)"
ENBJ,BJORNOYA,"(7450,1908)"
ENBL,FORDE/BRINGELAND RWY 07/25,"(6139,575)"
ENBN,BRONNOYSUND/BRONNOY RWY 04/22,"(6546,1221)"
ENBO,BODO RWY 07/25,"(6726,1436)"
ENBR,BERGEN/FLESLAND RWY 17/35,"(6029,521)"
ENBS,BATSFJORD RWY 03/21,"(7060,2969)"
ENBV,BERLEVAG RWY 06/24,"(7087,2903)"
ENCN,KRISTIANSAND/KJEVIK RWY 04/22,"(5820,808)"
ENDI,GEILO/DAGALI,"(6041,851)"
ENDP,DRAUPNER,"(5818,247)"
ENDR,DRAUGEN,"(6435,778)"
ENDU,BARDUFOSS RWY 10/28,"(6905,1854)"
ENLE,EKOFISK,"(5654,321)"
ENEK,EKOFISK-OLD,"(5655,321)"
ENEV,HARSTAD/NARVIK/EVENES RWY 17/35,"(6848,1667)"
ENFB,STATFJORD B,"(6120,182)"
ENFG,FAGERNES/LEIRIN RWY 15/33,"(6101,928)"
ENFL,FLORO RWY 07/25,"(6158,502)"
ENFR,FRIGG QUARTER,"(5987,206)"
ENGC,GULLFAKS C,"(6121,227)"
ENGK,GULLKNAPP,"(5851,870)"
ENGM,OSLO/GARDERMOEN RWY 01RL/19LR,"(6020,1108)"
ENHD,HAUGESUND/KARMOY RWY 14/32,"(5934,521)"
ENHE,HEIDRUN A,"(6532,731)"
ENHF,HAMMERFEST RWY 05/23,"(7067,2366)"
ENHK,HASVIK RWY 11/29,"(7048,2213)"
ENHM,HEIMDAL,"(5957,222)"
ENHO,HOPEN,"(7650,2500)"
ENHV,HONNINGSVAG/VALAN RWY 08/26,"(7100,2598)"
ENJA,JAN MAYEN,"(7094,-865)"
ENJS,JOHAN SVERDRUP,"(5883,253)"
ENKB,KRISTIANSUND/KVERNBERGET RWY 07/25,"(6311,782)"
ENKR,KIRKENES/HOYBUKTMOEN RWY 06/24,"(6972,2988)"
ENLA,ULA,"(5711,284)"
ENLI,FARSUND/LISTA,"(5810,662)"
ENLK,LEKNES RWY 03/21,"(6815,1360)"
ENLU,LUNDE,"(5929,913)"
ENMH,MEHAMN RWY 17/35,"(7102,2782)"
ENMI,NORWEGIAN METEOROLOGICAL INSTITUTE OSLO,"(5989,1061)"
ENML,MOLDE/ARO RWY 07/25,"(6274,726)"
ENMS,MOSJOEN/KJAERSTAD RWY 16/34,"(6578,1321)"
ENNA,LAKSELV/BANAK RWY 17/35,"(7006,2497)"
ENNE,NORNE A,"(6602,808)"
ENNK,NARVIK/FRAMNES RWY 01/19,"(6843,1738)"
ENNM,NAMSOS RWY 07/25,"(6447,1157)"
ENNO,NOTODDEN/TUVEN RWY 12/30,"(5956,921)"
ENOA,OSEBERG A,"(6049,282)"
ENOL,ORLAND RWY 15/33,"(6369,960)"
ENOV,ORSTA-VOLDA/HOVDEN RWY 06/24,"(6218,607)"
ENQA,TROLL A,"(6064,372)"
ENQC,TROLL C,"(6088,360)"
ENQJ,GJOA,"(6133,389)"
ENQR,SNORRE B,"(6152,220)"
ENRA,MO I RANA/ROSSVOLL RWY 14/32,"(6636,1430)"
ENRM,RORVIK/RYUM RWY 04/22,"(6483,1114)"
ENRO,ROROS RWY 13/31,"(6257,1134)"
ENRR,AIRSPACE USE PLAN,"(5980,1050)"
ENRS,ROST RWY 03/21,"(6752,1210)"
ENRX,HONEFOSS RINGERIKE SYKEHUS,"(6014,1025)"
ENRY,MOSS/RYGGE RWY 12/30,"(5937,1078)"
ENSA,SVEA RWY 04/22,"(7789,1672)"
ENSB,SVALBARD/LONGYEAR RWY 10/28,"(7824,1546)"
ENSD,SANDANE/ANDA RWY 09/27,"(6183,610)"
ENSE,SNORRE A,"(6144,214)"
ENSF,STATFJORD A,"(6125,185)"
ENSG,SOGNDAL/HAUKASEN RWY 06/24,"(6115,713)"
ENSH,SVOLVAER/HELLE RWY 01/19,"(6824,1466)"
ENSK,STOKMARKNES/SKAGEN RWY 09/27,"(6858,1502)"
ENSL,SLEIPNER A,"(5836,190)"
ENSN,SKIEN/GEITERYGGEN RWY 01/19,"(5918,956)"
ENSO,STORD/SORSTOKKEN RWY 15/33,"(5979,533)"
ENSR,SORKJOSEN RWY 15/33,"(6978,2095)"
ENSS,VARDO/SVARTNES RWY 15/33,"(7035,3104)"
ENST,SANDNESSJOEN/STOKKA RWY 03/21,"(6595,1247)"
ENTC,TROMSO/LANGNES RWY 01/19,"(6968,1891)"
ENTO,SANDEFJORD/TORP RWY 18/36,"(5918,1025)"
ENUB,ASGARD B,"(6511,678)"
ENUG,GOLIAT FPSO,"(7131,2225)"
ENUN,AASTA HANSTEEN,"(6707,709)"
ENUS,SKARV,"(6569,765)"
ENVA,TRONDHEIM/VAERNES RWY 09/27,"(6345,1092)"
ENVD,VADSO RWY 08/26,"(7006,2984)"
ENWV,VALHALL A,"(5627,339)"
ENVR,VAEROY,"(6765,1272)"
ENXW,GRANE,"(5916,248)"
ENZV,STAVANGER/SOLA RWY 18/36 11/29,"(5887,563)"
