airport_identifier,name
ENAE,OSTRE AERA
ENAH,AL/HALLINGDAL SJUKESTUGU
ENAL,ALESUND/VIGRA RWY 07/25
ENAN,ANDOYA/ANDENES RWY 03/21 14/32
ENAR,ARENDAL/SORLANDET SYKEHUS HF
ENAS,NY-ALESUND/HAMNERABBEN RWY 12/30
ENAT,ALTA RWY 11/29
ENBA,BARENTSBURG
ENBE,BALDER A
ENBG,BERGEN/GRONNEVIKSOREN
ENBJ,BJORNOYA
ENBL,FORDE/BRINGELAND RWY 07/25
ENBM,BOMOEN
ENBN,BRONNOYSUND/BRONNOY RWY 04/22
ENBO,BODO RWY 07/25
ENBR,BERGEN/FLESLAND RWY 17/35
ENBS,BATSFJORD RWY 03/21
ENBV,BERLEVAG RWY 06/24
ENCA,CAA BODOE
ENCN,KRISTIANSAND/KJEVIK RWY 04/22
ENDB,DOMBAS/BRUNSHAGEN
ENDH,DRAMMEN/SYKEHUSET BUSKERUD HF
ENDI,GEILO/DAGALI
ENDO,DOKKA/THOMLEVOLD
ENDP,DRAUPNER
ENDR,DRAUGEN
ENDU,BARDUFOSS RWY 10/28
ENEG,EGGEMOEN
ENLE,EKOFISK
ENEK,EKOFISK-OLD
ENEL,ELVERUM/SYKEHUSET INNLANDET HF
ENEN,ENGELOY/GRADUSSAN
ENEV,HARSTAD/NARVIK/EVENES RWY 17/35
ENFA,FROYA/FLATVAL
ENFB,STATFJORD B
ENFD,FORDE/SENTRALSJUKEHUSET
ENFG,FAGERNES/LEIRIN RWY 15/33
ENFJ,FEDJE HELIPORT
ENFL,FLORO RWY 07/25
ENFO,FORUS
ENFR,FRIGG QUARTER
ENFY,FYRESDAL
ENFZ,FRITZOE LARVIK
ENGA,GULLFAKS A
ENGC,GULLFAKS C
ENGK,GULLKNAPP
ENGM,OSLO/GARDERMOEN RWY 01RL/19LR
ENGN,GRIMSMOEN
ENGS,SNASA/GRONORA
ENHA,HAMAR/STAFSBERG
ENHB,HEGGEBAKKEN COM CENTRE
ENHD,HAUGESUND/KARMOY RWY 14/32
ENHE,HEIDRUN A
ENHF,HAMMERFEST RWY 05/23
ENHK,HASVIK RWY 11/29
ENHM,HEIMDAL
ENHO,HOPEN
ENHS,HOKKSUND
ENHT,HATTFJELLDAL/VOLLEN
ENHV,HONNINGSVAG/VALAN RWY 08/26
ENHX,HAUGESUND/HAUGESUND SJUKEHUS H
ENIS,ISFJORD
ENJA,JAN MAYEN
ENJB,JARLSBERG
ENJS,JOHAN SVERDRUP
ENKA,KAUTOKEINO
ENKB,KRISTIANSUND/KVERNBERGET RWY 07/25
ENKJ,KJELLER RWY 12/30
ENKL,GOL/KLANTEN
ENKR,KIRKENES/HOYBUKTMOEN RWY 06/24
ENLA,ULA
ENLB,LESJA/BJORLI
