airport_identifier,num_metar_with_FZ_abbr_AUTO
ENNM,2225
ENAN,747
ENRO,532
ENUG,452
ENHF,402
ENAT,383
ENSS,362
ENRY,357
ENKB,284
ENNA,272
ENCN,262
ENTO,262
ENRS,261
ENKR,208
ENEV,192
ENUN,190
ENBS,190
ENBV,146
ENMH,123
ENDU,110
ENHK,65
ENRM,63
ENVD,60
ENBN,59
ENNE,53
ENRA,53
ENAL,50
ENFB,47
ENDR,46
ENHV,41
ENBO,39
ENSL,38
ENSG,36
ENQR,34
ENMS,30
ENSH,30
ENBL,29
ENHD,26
ENSK,19
ENML,17
ENLA,15
ENSE,15
ENSF,15
ENQA,15
ENVA,15
ENQC,14
ENSR,14
ENOV,12
ENFL,10
ENTC,9
ENSD,4
ENZV,3
ENDP,3
ENWG,3
ENBR,2
ENWV,2
ENHM,2
ENUS,1
