airport_identifier,num_metar_without_oil_NOT_AUTO
ENGM,70982
ENOL,68697
ENBR,68195
ENZV,67162
ENTC,65445
ENBO,65283
ENVA,64539
ENSB,61972
ENDU,58998
ENEV,55891
ENHF,55289
ENKR,53401
ENAL,51857
ENCN,51063
ENTO,50425
ENAT,48153
ENVD,46666
ENBN,46248
ENML,45511
ENAN,45486
ENKB,44973
ENFL,42145
ENRA,41199
ENST,41173
ENNA,40987
ENMS,40682
ENHD,40664
ENOV,39325
ENSD,37865
ENBL,37262
ENSK,36296
ENBJ,34965
ENLK,34666
ENSG,34515
ENRY,32470
ENRM,31797
ENSH,31553
ENNM,29233
ENRO,27849
ENBS,27454
ENBV,26170
ENSS,25986
ENSR,23904
ENHV,23674
ENHK,23136
ENMH,22508
ENSO,22191
ENNO,22086
ENRS,19396
ENJA,5206
ENSA,4943
ENAS,4366
ENVR,4044
ENHO,3939
ENGK,3611
